Video ID,Published At,Keyword,Likes,Comments,Views
wAZZ-UWGVHI,23/08/2022,tech,3407,672,135612
b3x28s61q3c,24/08/2022,tech,76779,4306,1758063
4mgePWWCAmA,23/08/2022,tech,63825,3338,1564007
kXiYSI7H2b0,23/08/2022,tech,71566,1426,922918
ErMwWXQxHp0,08/08/2022,tech,96513,5155,1855644
18fwz9Itbvo,05/11/2021,tech,33570,1643,943119
jXf04bhcjbg,13/06/2022,tech,135047,9367,5937790
2TqOmtTAMRY,07/08/2022,tech,216935,12605,4782514
wLlL46pYcg4,08/12/2021,tech,45565,2882,7001236
R7qsau3X6Ks,14/07/2022,tech,24252,1068,667767
MEiq0oCUb_8,15/08/2022,tech,118001,4123,2359142
pT_9hntWj34,06/08/2022,tech,20999,3091,413179
cj4lxmHQV0o,13/08/2022,tech,15322,547,389114
d-BdIo8_wpA,15/12/2021,tech,17866,157,444953
eFhhW6fsAbQ,09/07/2022,tech,13217,442,371563
N88OE2ZCHBM,04/06/2021,tech,26890,4999,1633059
PKATJiyz0iI,13/08/2021,tech,9562,199,760249
qiMnSaZWf3M,21/07/2022,tech,11743,143,1086568
4AnyhHl3_tE,14/08/2022,tech,146978,11105,3186890
nmY2kgWYwyQ,25/03/2022,tech,363771,13609,11422924
HMqyLcNmsec,24/08/2022,tech,2117,486,63650
Q2ysbTVlPdk,12/05/2022,tech,42841,1357,1280387
zI8KQq5zmyM,02/07/2022,tech,23689,2842,530889
iEAlq1GPgnc,18/06/2021,tech,55231,2175,2122433
IHnhSxizVOA,31/07/2022,tech,1289,183,35948
Ql1-RZ2FUrc,24/08/2022,tech,970,207,23175
Fpof56HU6SY,10/08/2022,tech,1608,273,78520
bbbQ_X45FaA,27/05/2022,tech,1452,38,63599
MtMkU-1p7-0,03/06/2022,tech,35758,2056,1006704
QYlXL_8ei6g,19/08/2022,tech,8725,790,257848
zFCFe38EIfE,30/11/2021,tech,110145,3289,2954979
LOrkbagIpiY,28/05/2022,tech,12188,326,304037
UK5OHUmIgcc,02/04/2022,tech,59458,4159,1541386
My2Tr3k1liw,14/05/2022,tech,3494,136,589007
IUwqf08-FKU,05/05/2022,tech,36423,1902,1085076
U48UrDpXGog,24/08/2022,tech,941,221,25594
#NAME?,07/01/2022,tech,134194,6102,4098623
_f8Gb-vojoU,16/03/2022,tech,42075,1820,7188648
MAeXrShneoQ,24/08/2022,tech,709,128,25745
AREK4H8k7Ng,23/07/2022,tech,78852,3926,1889567
B0HI0RTZdJw,04/06/2022,tech,32102,3243,786765
Wuq7lS9rljw,02/07/2022,tech,188623,7464,4195072
VuG4BcghOSg,04/12/2021,tech,343227,20854,9618335
o-jUQhCeazQ,04/08/2022,tech,43960,1767,791624
#NAME?,26/05/2022,tech,77411,2098,2474364
#NAME?,24/08/2022,tech,24,45,3461
UxjgqBamqDU,30/07/2022,tech,4492,169,274201
YvZPU-KBCiQ,08/06/2022,tech,51846,2371,1156785
#NAME?,24/08/2022,news,1029,2347,97434
4RkfqEWK2FI,24/08/2022,news,534,538,57858
GK8CFuXExLw,24/08/2022,news,8526,3934,544884
95MMQzBkE30,24/08/2022,news,588,887,69951
nv7owOSprnI,24/08/2022,news,137,222,18531
rqbFOOt1q9M,24/08/2022,news,848,1384,86855
_XFJpfSFcpU,24/08/2022,news,827,1653,131012
fNHmQdrlIZE,24/08/2022,news,1200,2841,54596
zvS8Fmxv1_U,23/08/2022,news,1167,180,235019
OTFKyW-vc_Y,24/08/2022,news,1573,2670,60528
IH3DYzS4MdI,23/08/2022,news,1145,793,106127
q7sXUpqA_X4,23/08/2022,news,474,1553,75301
NS-9bd2hOOQ,24/08/2022,news,82,26,17145
0IH09JBETbI,24/08/2022,news,23828,47,500097
lX3EBSNjPII,23/08/2022,news,775,1517,127082
Tey5qEth4oA,24/08/2022,news,8484,2192,237313
L5p4Nov0KkU,20/08/2022,news,7946,1559,905023
MSTmUJU48g4,21/08/2022,news,510,560,34715
Sdm1WsGGU0w,24/08/2022,news,129,7,10642
XHKojSQxTs0,24/08/2022,news,1288,3,172513
voU9-39bicg,24/08/2022,news,257,1,62189
88w5Q03Lcro,24/08/2022,news,612,18,60835
B0ga0OUkb9c,23/08/2022,news,2385,1349,288722
#NAME?,22/08/2022,news,6379,4853,808787
o3TQPM5OkEU,23/08/2022,news,1009,451,127803
lHDn25SLgdk,22/08/2022,news,5630,1848,533947
kSKxCN8M-WE,24/08/2022,news,686,18,56683
fHCk3o_5l7o,19/08/2022,news,7277,1294,796750
8NL6YyEW2ww,19/08/2022,news,695,121,159877
uDSR4wV_zno,20/08/2022,news,15854,5373,1465011
f2TK2lpFFzs,22/08/2022,news,1030,10,187892
8Vqj8Ls29HI,24/08/2022,news,198,12,17763
uVmNImDu0rQ,18/08/2022,news,7342,1531,932432
_JGrWrwOoD8,23/08/2022,news,286,22,23135
hPy7QFsTaLw,21/08/2022,news,2083,2195,164119
s-XXxzZCkLg,21/08/2022,news,1728,665,212973
bLHeJmGUyWQ,24/08/2022,news,180,16,13976
h4VjpOOWzZ0,21/08/2022,news,1102,668,106690
CBNHQyXOcjE,23/08/2022,news,1688,796,89985
Ccc0GvjuqkQ,23/08/2022,gaming,8384,1307,176151
4mgePWWCAmA,23/08/2022,gaming,63825,3338,1564007
wXjxEphvceM,24/08/2022,gaming,4163,618,133933
iRxsHyRJnnQ,24/08/2022,gaming,2925,121,99244
WBK2_lD7KGA,24/08/2022,gaming,298406,15609,3773387
RRaznaiwf9A,24/08/2022,gaming,549,29,16307
YeqhIN6Dg_U,22/08/2022,gaming,2170,282,126228
4ndP7aEL48w,23/08/2022,gaming,1365,256,46436
aVYgohhJTwo,24/08/2022,gaming,3516,306,121644
t3L2dLPzvrM,24/08/2022,gaming,2481,429,67444
UZFeOxoRe8g,24/08/2022,gaming,2501,193,84565
PyUwWSrFy5E,20/08/2022,gaming,82449,2673,2007038
GiHBWPRybpw,24/08/2022,gaming,1243,21,5967
wRWhpXAMrLQ,24/08/2022,gaming,48710,3417,552256
zJJ7JiG2Lvw,24/08/2022,gaming,29966,471,205943
f-vwWjR_3JY,24/08/2022,gaming,15842,1547,530763
gYvCj3EufhA,24/08/2022,gaming,3374,741,82874
0aSjii_bpUc,24/08/2022,gaming,8260,195,191777
#NAME?,24/08/2022,gaming,1525,36,14877
i2tzQ0RUm6Q,24/08/2022,gaming,468,164,10351
HN-EAqkxYLo,23/08/2022,gaming,18208,44,228095
514QAJMYHus,24/08/2022,gaming,3171,5,19693
KO9XkCtJ8Ds,23/08/2022,gaming,1204,135,27564
9BFPMqT4twI,23/08/2022,gaming,10556,466,66633
fT3XZ_lrUp8,22/08/2022,gaming,869,155,22860
2MTmULlJIJE,18/01/2022,gaming,13492,707,879645
meUhoYdG0rM,24/08/2022,gaming,358,23,2386
f-OUonH08fo,23/08/2022,gaming,2677,485,65005
i_n68sBUTow,23/08/2022,gaming,39872,187,246407
RnpJZLc7WtQ,22/08/2022,gaming,46642,1287,268946
grQ_zwR1giM,24/08/2022,gaming,674,93,5931
U2ammRwQ20Y,22/08/2022,gaming,3495,202,226258
#NAME?,23/08/2022,gaming,789,77,19223
qR12rWDMjls,24/08/2022,gaming,3273,472,31837
dC7EnOoJRrs,23/08/2022,gaming,4484,459,97946
tN0O_MQkF10,22/08/2022,gaming,2700,279,70186
MepGo2xmVJw,14/11/2020,gaming,238193,14706,7132206
s2bTQK6vbKI,06/05/2022,gaming,71905,6315,2381931
pfwR_wD53wU,24/08/2022,gaming,9574,537,87891
dzptw7d8QI8,22/08/2022,gaming,1215,100,64958
hXKhM_taHJ4,23/08/2022,gaming,11797,519,364725
gTUkevqZXKY,22/08/2022,gaming,2750,116,208701
mqc6QqoGNWI,24/08/2022,gaming,563,85,14537
AqvyzO3IPXc,31/03/2022,sports,39944,1677,5093587
0RiGydlyTcM,14/08/2022,sports,19987,2358,1335282
szeXkBYq5HU,09/01/2018,sports,275577,5431,15040548
MnCilaL_3yo,24/07/2022,sports,62969,9809,4288833
jxlygT8QMGM,18/04/2022,sports,12785,489,1945140
dwV04XuiWq4,22/04/2019,sports,778342,20737,57369066
YaVp_xXotxo,20/06/2021,sports,56480,2515,12272628
0AjSt2I4Vj4,22/08/2022,sports,23668,2290,1499121
_eaK4DIxB5s,22/12/2019,sports,102369,10191,16099483
kwuIWZ9wRmw,06/08/2021,sports,60821,2638,12867358
heIKaaamvdc,02/04/2022,sports,355223,6889,11181957
ftb3nlM9gKU,20/08/2022,sports,7866,550,619006
AbnjSelQYV8,30/08/2021,sports,84728,1451,10909239
vqRZ8z1MU3o,16/08/2022,sports,6920,640,665643
jzJW0gTYB9k,22/02/2022,sports,22479,299,2020370
YClWEHi6mzY,02/01/2022,sports,6568,591,592998
RxhDx1gpoeo,09/08/2021,sports,127971,3938,20647398
B6HQSEz2ZDg,21/08/2022,sports,11805,1116,961317
bIDKhZ_4jLQ,07/10/2019,sports,601464,23466,27922929
v3m_DlYSJOA,03/10/2020,sports,241605,6650,31518906
wIYD42DV3Ro,07/05/2022,sports,39999,6387,5683239
_6akkGVr2zs,08/01/2021,sports,33316,1335,7795119
U7bNzl0HepU,24/10/2021,sports,14899,637,1836457
yaGkToO1eHo,28/12/2020,sports,25347,385,9444655
dCMJqrAHgkc,21/08/2022,sports,11898,1330,901368
cjTV-uyMKbc,23/08/2022,sports,1096,178,106597
Q99TxKPzLkc,20/08/2022,sports,6325,391,573655
#NAME?,04/12/2017,sports,867074,43024,106014469
WZKPK1a8w90,13/08/2022,sports,6946,481,647117
Kcne0vP4NNE,21/09/2021,sports,51562,8289,4282206
3fT5K2SIXDQ,12/06/2022,sports,31796,555,6134948
VAe6ZDhwZ0c,20/08/2022,sports,46,6,2219
QjL7D33xpS4,13/08/2018,sports,149084,3901,4820297
BZIfU09QOJY,22/08/2022,sports,191,35,27378
ETsM6CGZ0_Y,24/08/2022,sports,38,1,4114
tiwjvBSS_Wk,31/03/2022,sports,32772,4597,1194578
JsOL9GBAugY,26/12/2021,sports,2584,57,1051751
ARnERQncs0I,23/08/2022,sports,15,1,867
szlhtejAMyM,05/10/2021,sports,132236,3715,15110047
x64iroHxmsc,18/08/2022,sports,3991,820,269716
rVcwYxqupxw,21/08/2022,sports,2192,144,230945
G8cramghuZ8,22/08/2022,sports,54006,3508,2699810
90xB3D-UYd4,21/08/2022,sports,14293,2114,577426
7nMB5YvZ8Ak,20/08/2022,sports,1121,91,65057
YWY5zWR5HrY,15/08/2022,sports,1941,401,83228
MRdkdIfkBJ8,31/05/2022,sports,15872,156,4290144
UtgnaBDIcNo,20/08/2022,sports,2807,194,203084
1_r0mhnxGN0,14/06/2020,sports,22288,451,11666184
0dW3d3taopc,13/08/2022,sports,10119,664,891548
SvOx7tA_Cv8,04/07/2022,how-to,135155,11354,2361410
RIbMoJouce8,23/08/2022,how-to,14408,864,275924
Hu4Yvq-g7_Y,05/04/2019,how-to,315980,6186,13176819
ZzLPUoetSHw,21/07/2022,how-to,44809,660,1341953
LWxUb_dwd-0,12/12/2021,how-to,22532,198,443909
VRJzvJ5XPQI,18/10/2021,how-to,295514,5266,8378324
4jwUXV4QaTw,21/05/2019,how-to,1165120,40435,44943014
ZRjKX1-ilwo,11/10/2019,how-to,136929,3323,5249373
v6BmurUpiN0,22/08/2022,how-to,2048,193,58330
n3kNlFMXslo,07/02/2017,how-to,169217,2295,7370713
kARkOdRHaj8,18/10/2018,how-to,56460,2118,3745331
CyElHdaqkjo,04/10/2016,how-to,78076,1822,2947659
joAOl1CVlpE,31/07/2022,how-to,28603,1300,855958
115amzVdV44,18/08/2020,how-to,910553,81975,52061447
z2I5J1ArmeM,07/11/2020,how-to,49642,1589,3750968
La9oLLoI5Rc,12/06/2018,how-to,338470,9618,14322764
0R4Bk73HDLk,14/08/2022,how-to,46638,2210,1902823
RpaxxN8jTHo,15/06/2022,how-to,80596,2415,1606273
rnwiG7USp9c,24/08/2022,how-to,554,60,15329
5MgBikgcWnY,14/03/2013,how-to,723998,14759,31858250
ZJy1ajvMU1k,07/03/2016,how-to,665269,25869,36467409
kmhvZ8kVdG4,24/02/2018,how-to,70465,17616,10097646
QGE6r0KvEFo,23/08/2022,how-to,600,55,10671
m7Jw3a7CpNA,03/12/2021,how-to,32092,181,425850
KmOAznOQX-g,29/07/2019,how-to,347137,7750,13590001
