Age,Height,Weight,Foot,Country,Player_score
16,185,75,Left,Germany,48
16,168,52,Left,England,4
16,172,65,Left,Italy,42
16,175,68,Left,Italy,12
16,180,70,Left,Germany,88
16,191,87,Left,Germany,59
16,180,69,Left,Germany,63
16,174,65,Left,Germany,17
17,188,89,Right,Germany,2
17,190,74,Right,Italy,61
17,167,58,Right,Germany,30
17,178,70,Left,Germany,35
17,178,68,Left,England,93
17,170,68,Left,Germany,90
17,193,71,Left,England,58
17,180,72,Left,Italy,40
17,169,59,Left,Germany,47
17,187,80,Left,Italy,44
17,174,72,Left,Germany,4
17,170,66,Left,Italy,49
17,184,74,Left,Italy,58
17,172,70,Left,Italy,14
17,183,70,Left,Germany,16
17,185,72,Left,Germany,72
17,182,81,Left,Italy,4
17,182,79,Left,England,65
17,176,69,Left,Germany,53
17,184,78,Left,Italy,17
17,180,72,Left,Germany,16
17,182,73,Left,Germany,39
17,180,77,Left,Germany,26
17,172,62,Left,England,38
17,183,73,Left,Italy,76
17,172,63,Left,Germany,7
17,185,80,Left,Germany,96
17,178,74,Left,Italy,26
17,177,68,Left,England,82
17,181,74,Left,England,14
17,183,73,Left,Germany,58
17,183,74,Left,Italy,12
17,178,74,Left,Germany,10
17,187,68,Left,England,71
17,188,82,Left,Italy,86
17,173,65,Left,England,43
17,177,76,Left,Germany,31
17,182,75,Left,England,57
17,176,69,Left,Italy,72
17,170,66,Left,Germany,77
17,186,67,Left,Germany,62
17,187,77,Left,England,10
17,174,69,Left,Italy,78
17,190,80,Left,Germany,80
17,194,84,Left,England,71
17,180,75,Left,Germany,10
17,170,60,Left,Italy,41
17,173,65,Left,Germany,65
17,180,77,Left,England,50
17,186,81,Left,Germany,70
17,177,78,Left,England,72
17,174,67,Left,Germany,10
17,178,68,Left,Germany,58
17,171,66,Left,Italy,53
17,183,64,Left,Italy,86
17,188,72,Left,Germany,53
17,173,60,Left,Italy,70
17,188,82,Left,Italy,25
17,185,78,Left,Italy,47
17,178,78,Left,Germany,80
17,174,70,Left,Italy,49
17,172,68,Left,England,45
17,173,64,Left,Germany,93
17,185,77,Left,Italy,59
17,186,75,Left,Germany,79
17,183,75,Left,Italy,71
17,173,65,Left,Germany,2
17,175,71,Left,England,53
17,180,80,Left,Germany,45
17,181,70,Left,Italy,64
17,183,68,Left,England,58
17,173,66,Left,Italy,33
17,182,75,Left,England,75
17,184,72,Left,England,55
17,177,71,Left,Italy,58
17,175,66,Left,Italy,4
17,186,73,Left,England,9
18,178,73,Right,Italy,89
18,196,90,Right,Germany,3
18,172,69,Right,Germany,76
18,193,82,Right,Italy,58
18,182,73,Right,England,24
18,178,68,Right,Germany,28
18,186,77,Right,Italy,77
18,171,66,Right,Germany,54
18,167,66,Right,Italy,52
18,186,80,Right,England,88
18,185,77,Right,England,73
18,185,83,Right,England,96
18,179,68,Right,Italy,6
18,181,74,Right,Italy,79
18,175,62,Right,Italy,86
18,170,74,Right,Germany,60
18,181,80,Right,England,87
18,175,69,Right,Italy,36
18,178,74,Right,Italy,65
18,170,64,Right,Italy,79
18,180,74,Right,Italy,38
18,183,71,Right,England,97
18,183,74,Right,Germany,97
18,172,69,Right,Italy,54
18,188,81,Right,Italy,47
18,180,71,Right,England,68
18,168,61,Left,Germany,51
18,178,70,Left,Italy,69
18,175,68,Left,England,99
18,185,75,Left,Italy,81
18,176,72,Left,Italy,15
18,189,80,Left,Italy,75
18,181,70,Left,Italy,55
18,182,77,Left,Germany,88
18,183,81,Left,Germany,1
18,191,78,Left,Germany,46
