"","noise_level","latitude","longitude","avg_lat","avg_long"
"1","low",60.37,-4.18,61.1643,-3.8128
"12","low",60.86,-1.53,61.1643,-3.8128
"14","low",61.25,-2.76,61.1643,-3.8128
"15","low",61.42,-3.51,61.1643,-3.8128
"16","low",61.4,-3.41,61.1643,-3.8128
"18","low",61.52,-3.94,61.1643,-3.8128
"23","low",61.61,-6.33,61.1643,-3.8128
"24","low",61.51,-4.16,61.1643,-3.8128
"25","low",61.55,-4.18,61.1643,-3.8128
"26","low",61.47,-4.16,61.1643,-3.8128
"28","low",61.39,-4.16,61.1643,-3.8128
"29","low",61.43,-4.15,61.1643,-3.8128
"30","low",61.64,-4.18,61.1643,-3.8128
"31","low",61.67,-4.18,61.1643,-3.8128
"32","low",61.72,-4.18,61.1643,-3.8128
"33","low",60.98,-4.26,61.1643,-3.8128
"34","low",61.1,-4.2,61.1643,-3.8128
"35","low",61.34,-4.16,61.1643,-3.8128
"36","low",61.14,-4.21,61.1643,-3.8128
"38","low",61.19,-4.2,61.1643,-3.8128
"39","low",60.64,-4.88,61.1643,-3.8128
"40","low",60.67,-4.83,61.1643,-3.8128
"75","low",61.36,-2,61.1643,-3.8128
"77","low",60.44,-4.26,61.1643,-3.8128
"78","low",60.45,-4.3,61.1643,-3.8128
"80","low",60.79,-4.33,61.1643,-3.8128
"85","low",60.45,-4.38,61.1643,-3.8128
"91","low",60.92,-4.5,61.1643,-3.8128
"2","medium",60.38,-4.19,61.1643,-3.8128
"3","medium",60.54,-4.62,61.1643,-3.8128
"4","medium",60.29,-4.35,61.1643,-3.8128
"5","medium",60.41,-5.2,61.1643,-3.8128
"7","medium",60.4,-5.08,61.1643,-3.8128
"8","medium",60.41,-5,61.1643,-3.8128
"9","medium",60.44,-4.64,61.1643,-3.8128
"10","medium",60.43,-4.84,61.1643,-3.8128
"11","medium",60.43,-4.75,61.1643,-3.8128
"13","medium",61.29,-2.93,61.1643,-3.8128
"17","medium",61.38,-3.32,61.1643,-3.8128
"19","medium",61.53,-4.02,61.1643,-3.8128
"20","medium",61.6,-4.34,61.1643,-3.8128
"21","medium",61.67,-4.65,61.1643,-3.8128
"22","medium",61.75,-5.07,61.1643,-3.8128
"27","medium",61.59,-4.18,61.1643,-3.8128
"37","medium",60.92,-4.4,61.1643,-3.8128
"41","medium",60.54,-4.96,61.1643,-3.8128
"42","medium",60.52,-5.05,61.1643,-3.8128
"43","medium",60.51,-5.14,61.1643,-3.8128
"44","medium",60.58,-5,61.1643,-3.8128
"45","medium",60.52,-5.14,61.1643,-3.8128
"49","medium",61.33,-3.5,61.1643,-3.8128
"50","medium",61.36,-3.46,61.1643,-3.8128
"51","medium",61.29,-3.57,61.1643,-3.8128
"60","medium",61.82,-2,61.1643,-3.8128
"61","medium",61.78,-2,61.1643,-3.8128
"62","medium",61.72,-2.01,61.1643,-3.8128
"63","medium",61.66,-2.02,61.1643,-3.8128
"64","medium",61.9,-2.01,61.1643,-3.8128
"66","medium",61.57,-2.01,61.1643,-3.8128
"67","medium",61.42,-3.33,61.1643,-3.8128
"68","medium",61.46,-3.28,61.1643,-3.8128
"70","medium",61.53,-2,61.1643,-3.8128
"71","medium",61.49,-2,61.1643,-3.8128
"72","medium",61.45,-2,61.1643,-3.8128
"74","medium",61.41,-2,61.1643,-3.8128
"76","medium",61.3,-1.99,61.1643,-3.8128
"79","medium",60.83,-4.34,61.1643,-3.8128
"81","medium",60.74,-4.33,61.1643,-3.8128
"82","medium",60.5,-4.35,61.1643,-3.8128
"83","medium",60.56,-4.33,61.1643,-3.8128
"84","medium",60.69,-4.33,61.1643,-3.8128
"86","medium",60.92,-4.98,61.1643,-3.8128
"87","medium",60.92,-5.08,61.1643,-3.8128
"88","medium",60.92,-4.87,61.1643,-3.8128
"89","medium",60.92,-4.77,61.1643,-3.8128
"90","medium",60.92,-4.65,61.1643,-3.8128
"92","medium",60.92,-4.58,61.1643,-3.8128
"93","medium",60.75,-4.53,61.1643,-3.8128
"94","medium",60.75,-4.62,61.1643,-3.8128
"95","medium",60.75,-4.99,61.1643,-3.8128
"96","medium",60.75,-4.89,61.1643,-3.8128
"97","medium",60.75,-4.8,61.1643,-3.8128
"98","medium",60.75,-4.69,61.1643,-3.8128
"99","medium",60.58,-4.79,61.1643,-3.8128
"100","medium",60.58,-4.7,61.1643,-3.8128
"6","high",60.38,-5.22,61.1643,-3.8128
"46","high",61.99,-2.26,61.1643,-3.8128
"47","high",61.94,-2.41,61.1643,-3.8128
"48","high",61.59,-3.06,61.1643,-3.8128
"52","high",62.1,-2.01,61.1643,-3.8128
"53","high",61.91,-2.48,61.1643,-3.8128
"54","high",62.07,-2.06,61.1643,-3.8128
"55","high",62.01,-2.18,61.1643,-3.8128
"56","high",62.04,-2.12,61.1643,-3.8128
"57","high",62.07,-2.01,61.1643,-3.8128
"58","high",61.62,-3,61.1643,-3.8128
"59","high",62.01,-2,61.1643,-3.8128
"65","high",61.87,-2.58,61.1643,-3.8128
"69","high",61.65,-2.96,61.1643,-3.8128
"73","high",61.78,-2.74,61.1643,-3.8128
