id,name,elev,date,tempcmax,tempcmin,tempcmean,rhmean,wsmean,wdmean
193335,BEER SHEVA,279,01/06/2012,34.6,20.8,26.7625,38.5,2.25,248.75
193336,BEER SHEVA,279,02/06/2012,34.3,16.3,24.8875,49.75,1.75,270
193337,BEER SHEVA,279,03/06/2012,34.8,15.4,25.475,48.5,1.9375,225
193338,BEER SHEVA,279,04/06/2012,31.5,20.5,24.65,65.375,2.875,321.25
193339,BEER SHEVA,279,05/06/2012,30.1,18.4,23.475,65.125,2.375,308.75
193340,BEER SHEVA,279,06/06/2012,31.1,18.3,23.975,62,1.9375,273.75
193341,BEER SHEVA,279,07/06/2012,34.4,16.7,26,42.25,2.0625,231.25
193342,BEER SHEVA,279,08/06/2012,32.1,17.3,24.6875,54,1.5625,287.5
193343,BEER SHEVA,279,09/06/2012,34,18,25.3375,63,1.9375,245
193344,BEER SHEVA,279,10/06/2012,34.5,18.8,25.6875,66.875,2.3125,262.5
193345,BEER SHEVA,279,11/06/2012,33.7,20.7,26.2,63.5,2.25,312.5
193346,BEER SHEVA,279,12/06/2012,32.5,19.8,25.3625,63.75,1.875,277.5
193347,BEER SHEVA,279,13/06/2012,33.5,19.3,25.35,65.5,2.25,307.5
193348,BEER SHEVA,279,14/06/2012,32.7,20.2,25.75,67.625,2.625,311.25
193349,BEER SHEVA,279,15/06/2012,33.4,21.7,26.025,72.25,1.8125,252.5
193350,BEER SHEVA,279,16/06/2012,37.3,20.4,28.125,62.75,1.5625,257.5
193351,BEER SHEVA,279,17/06/2012,39,20.5,29.225,50.625,2,248.75
193352,BEER SHEVA,279,18/06/2012,36.2,22.3,27.85,64.5,2.5,293.75
193353,BEER SHEVA,279,19/06/2012,33.3,22.9,26.95,68.875,2.1875,290
193354,BEER SHEVA,279,20/06/2012,32,23.2,26.6375,65.75,2.6875,268.75
193355,BEER SHEVA,279,21/06/2012,34.9,21.6,27.325,60.25,1.9375,255
193356,BEER SHEVA,279,22/06/2012,34.1,21.5,27.3875,60,2.0625,227.5
193357,BEER SHEVA,279,23/06/2012,37.4,20.5,29.0375,48,1.6875,158.75
193358,BEER SHEVA,279,24/06/2012,34.5,22.1,27.4125,60.625,2.0625,275
193359,BEER SHEVA,279,25/06/2012,33.2,21.3,26.6875,67.125,1.875,272.5
193360,BEER SHEVA,279,26/06/2012,32.5,22.8,27,72.125,2.5625,270
193361,BEER SHEVA,279,27/06/2012,32.6,23.9,27.35,67.125,2.3125,280
193362,BEER SHEVA,279,28/06/2012,34.4,22.3,27.225,68.25,2.0625,277.5
193363,BEER SHEVA,279,29/06/2012,34.3,23.5,27.625,66.875,2.1875,307.5
193364,BEER SHEVA,279,30/06/2012,35.1,22.8,27.775,66.875,2.125,287.5
