Id,Price,Brand,Model,Year,Title_status,Mileage,Color,Vin,State,Country,Sell_time
0,6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763,new jersey, usa,10 days left
1,2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217,tennessee, usa,6 days left
2,5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413,georgia, usa,2 days left
3,25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745,virginia, usa,22 hours left
4,27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991,florida, usa,22 hours left
5,5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989,texas, usa,2 days left
6,7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133,georgia, usa,22 hours left
7,13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762,california, usa,20 hours left
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860,florida, usa,22 hours left
9,5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542,texas, usa,2 days left
10,10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675,georgia, usa,22 hours left
11,12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280,california, usa,20 hours left
12,31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059,tennessee, usa,22 hours left
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095,texas, usa,2 days left
14,20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790,virginia, usa,22 hours left
15,12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389,california, usa,20 hours left
16,5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723,north carolina, usa,2 days left
17,16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844,tennessee, usa,22 hours left
18,5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607,texas, usa,2 days left
19,38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569,virginia, usa,22 hours left
20,12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380,california, usa,20 hours left
21,7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611,north carolina, usa,2 days left
22,15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023,ohio, usa,2 days left
23,6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276,texas, usa,2 days left
24,20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008,virginia, usa,22 hours left
25,11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918,california, usa,20 hours left
26,21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029,north carolina, usa,2 days left
27,12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639,ohio, usa,2 days left
28,4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013,texas, usa,2 days left
29,13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687,tennessee, usa,22 hours left
30,12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335,california, usa,20 hours left
31,18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292,new york, usa,19 hours left
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389,pennsylvania, usa,22 hours left
33,5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401,texas, usa,2 days left
34,13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799,virginia, usa,22 hours left
35,11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793,california, usa,20 hours left
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040,new york, usa,19 hours left
37,19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471,tennessee, usa,22 hours left
38,7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692,texas, usa,2 days left
39,7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682,tennessee, usa,22 hours left
40,12710,gmc,door,2017,clean vehicle,30049,white,  1gks2gkc6hr325461,california, usa,20 hours left
41,16600,mercedes-benz,vans,2016,clean vehicle,97983,white,  wd4pe7dd1gp253504,new york, usa,19 hours left
42,30500,chevrolet,1500,2018,clean vehicle,30442,red,  3gcukrec4jg204915,tennessee, usa,22 hours left
43,6330,ford,mpv,2017,clean vehicle,38123,red,  2fmpk3j85hbb79415,texas, usa,2 days left
44,55000,ford,srw,2017,clean vehicle,15273,black,  1ft7w3bt5hee88155,pennsylvania, usa,3 days left
45,12520,gmc,door,2017,clean vehicle,28972,black,  1gks2gkcxhr324555,california, usa,20 hours left
46,16200,jeep,compass,2019,clean vehicle,30061,red,  3c4njccb3kt676336,north carolina, usa,2 days left
47,19000,chevrolet,malibu,2017,clean vehicle,18414,white,  1g1zh5sx9hf118136,tennessee, usa,22 hours left
48,5580,dodge,mpv,2017,clean vehicle,46829,gray,  3c4pddeg7ht595704,texas, usa,2 days left
49,54000,ford,srw,2017,clean vehicle,26241,black,  1ft7w3bt0hef02785,pennsylvania, usa,3 days left
50,12710,gmc,mpv,2017,clean vehicle,39886,red,  1gks2bkc7hr133811,california, usa,20 hours left
51,16000,jeep,compass,2019,clean vehicle,31594,silver,  3c4njccb0kt676343,north carolina, usa,2 days left
52,27000,buick,enclave,2017,clean vehicle,32107,no_color,  5gakrckdxhj113512,tennessee, usa,22 hours left
53,7760,ford,mpv,2017,clean vehicle,44794,gray,  2fmpk4j87hbb21750,texas, usa,2 days left
54,19600,chrysler,300,2019,clean vehicle,42648,gray,  2c3ccabgxkh559658,south carolina, usa,22 hours left
55,12920,gmc,mpv,2017,clean vehicle,39165,silver,  1gks2bkc6hr134450,california, usa,20 hours left
56,20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,  1c4pjmbx6kd298806,north carolina, usa,2 days left
57,18100,buick,door,2017,clean vehicle,46766,silver,  1g4zp5ss8hu149142,florida, usa,2 days left
58,23000,chrysler,pacifica,2020,clean vehicle,2473,white,  2c4rc1fg5lr143335,ohio, usa,2 days left
59,18500,chrysler,300,2019,clean vehicle,38586,gray,  2c3ccaeg5kh585628,south carolina, usa,22 hours left
60,13490,gmc,door,2017,clean vehicle,27842,white,  1gks2gkc0hr323625,california, usa,20 hours left
61,20700,jeep,cherokee,2019,clean vehicle,31156,white,  1c4pjmbx2kd360704,north carolina, usa,2 days left
62,17800,chevrolet,door,2017,clean vehicle,52435,black,  1g1fb1rsxh0185712,florida, usa,22 hours left
63,6650,ford,door,2017,clean vehicle,29942,black,  1fmcu0gd8huc93883,texas, usa,2 days left
64,29100,chrysler,pacifica,2019,clean vehicle,25281,red,  2c4rc1gg3kr730663,south carolina, usa,22 hours left
65,12710,gmc,door,2017,clean vehicle,32504,silver,  1gks2gkc6hr327937,california, usa,20 hours left
66,21100,jeep,cherokee,2019,clean vehicle,28649,silver,  1c4pjmbx6kd298174,north carolina, usa,2 days left
67,18600,chevrolet,door,2017,clean vehicle,35200,white,  1g1fb1rsxh0104806,florida, usa,22 hours left
68,4340,ford,door,2017,clean vehicle,25602,silver,  1fmcu0gd7huc86259,texas, usa,2 days left
69,19300,chrysler,300,2019,clean vehicle,34801,gray,  2c3ccakg4kh594972,south carolina, usa,22 hours left
70,12780,gmc,door,2017,clean vehicle,31009,black,  1gks2gkc7hr321306,california, usa,20 hours left
71,15800,jeep,compass,2019,clean vehicle,35595,charcoal,  3c4njccb4kt662767,north carolina, usa,2 days left
72,29400,bmw,x3,2017,clean vehicle,23765,black,  5uxwx7c3xh0u44145,tennessee, usa,22 hours left
73,4430,ford,door,2017,clean vehicle,31792,black,  1fmcu0gd9huc37922,texas, usa,2 days left
74,19400,chrysler,300,2019,clean vehicle,33135,gray,  2c3ccakg6kh578112,south carolina, usa,22 hours left
75,12520,gmc,door,2017,clean vehicle,30636,red,  1gks2gkcxhr323969,california, usa,20 hours left
76,15900,jeep,compass,2019,clean vehicle,34502,red,  3c4njccb7kt660088,north carolina, usa,2 days left
77,26400,buick,door,2017,clean vehicle,25434,white,  5gakvckd2hj308564,florida, usa,22 hours left
78,4140,ford,door,2017,clean vehicle,36732,black,  1fmcu0gd5hud08310,texas, usa,2 days left
79,18300,chrysler,300,2019,clean vehicle,41792,gray,  2c3ccaeg0kh555632,south carolina, usa,22 hours left
